"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.476230117E0,3.303625107E0,-6.995797157E-2,-1.349992752E-1,3.307122279E0
1.493095341E0,3.251961231E0,-4.265642166E-2,-1.641225815E-1,3.256379530E0
1.509938604E0,3.138765574E0,-1.109402180E-1,-1.651268005E-1,3.145063420E0
1.526741481E0,3.087371349E0,-1.002035141E-1,-9.580898285E-2,3.090482479E0
1.543609543E0,2.985518456E0,-1.065087318E-2,9.703540802E-2,2.987113952E0
1.560460780E0,2.967927456E0,4.553771019E-2,2.613611221E-1,2.979761182E0
1.577269008E0,2.882519722E0,7.161140442E-3,2.710189819E-1,2.895241357E0
1.594133987E0,2.701246262E0,-1.863408089E-2,2.756652832E-1,2.715339747E0
1.610945339E0,2.503362179E0,-2.168273926E-2,2.650852203E-1,2.517451591E0
1.627812282E0,2.334228039E0,-7.789134979E-2,3.360090256E-1,2.359574043E0
1.644646399E0,2.127534866E0,-1.944010258E-1,4.103660583E-1,2.175453210E0
1.661458095E0,1.849205375E0,-2.720677853E-1,4.873218536E-1,1.931596228E0
1.678329627E0,1.550538421E0,-2.750489712E-1,4.357385635E-1,1.633918427E0
1.695174607E0,1.334323168E0,-2.248551846E-1,4.071674347E-1,1.413068820E0
1.712008336E0,1.211830974E0,-1.576340199E-1,5.007457733E-1,1.320654808E0
1.728847386E0,9.536958933E-1,-1.141448021E-1,6.479291916E-1,1.158609999E0
1.745660223E0,7.427595258E-1,-1.537647247E-1,6.835412979E-1,1.021060238E0
1.762515997E0,3.844986260E-1,-2.978324890E-1,4.989833832E-1,6.967982503E-1
1.779371353E0,-4.439449310E-2,-3.780577183E-1,2.254018784E-1,4.423850315E-1
1.796204565E0,-3.397220969E-1,-3.962104321E-1,2.950382233E-2,5.227468653E-1
1.813043005E0,-4.847286344E-1,-3.972349167E-1,1.120185852E-2,6.268037250E-1
1.829874945E0,-5.666592121E-1,-3.905065060E-1,1.994132996E-2,6.884734203E-1
1.846717423E0,-6.449462175E-1,-3.347847462E-1,-1.327753067E-1,7.386919059E-1
1.863567206E0,-7.620810270E-1,-3.255429268E-1,-4.270849228E-1,9.322806553E-1
1.880398129E0,-7.998297215E-1,-3.479533195E-1,-6.797704697E-1,1.105842207E0
1.897233669E0,-9.132703543E-1,-3.311653137E-1,-7.063808441E-1,1.201127430E0
1.914067786E0,-1.024612069E0,-3.189120293E-1,-5.299692154E-1,1.196830040E0
1.930918901E0,-1.132612348E0,-3.649611473E-1,-4.215135574E-1,1.262410808E0
1.947756883E0,-1.293637753E0,-3.982293606E-1,-4.292249680E-1,1.419971595E0
1.964593888E0,-1.460745692E0,-4.123065472E-1,-3.330564499E-1,1.553930907E0
1.981436184E0,-1.331575394E0,-3.360598087E-1,-1.921939850E-1,1.386711128E0
1.998251716E0,-1.095298648E0,-1.224398613E-1,-9.509944916E-2,1.106216323E0
2.015108944E0,-9.274109006E-1,7.167530060E-2,4.063034058E-2,9.310634521E-1
2.031960121E0,-8.460910916E-1,1.618435383E-1,2.309226990E-1,8.918457037E-1
2.048792609E0,-8.961585760E-1,1.530649662E-1,3.862113953E-1,9.877693653E-1
2.065632514E0,-9.537818432E-1,1.105921268E-1,5.252351761E-1,1.094441599E0
2.082467567E0,-9.498485923E-1,8.333325386E-2,7.232446671E-1,1.196762143E0
2.099310707E0,-8.394505382E-1,5.422592163E-2,9.281806946E-1,1.252652010E0
2.116149116E0,-7.170477509E-1,1.453995705E-2,8.974857330E-1,1.148847043E0
2.132980302E0,-5.741444230E-1,-6.769585609E-2,6.887989044E-1,8.992599614E-1
2.149804124E0,-4.567392468E-1,-1.791980267E-1,4.472217560E-1,6.638749667E-1
2.166666247E0,-2.785092592E-1,-3.158233166E-1,4.153575897E-1,5.914674142E-1
2.183509884E0,-3.388595581E-2,-3.979346752E-1,4.302482605E-1,5.870381839E-1
2.200315305E0,1.763235480E-1,-4.367258549E-1,4.785909653E-1,6.714676298E-1
2.217190020E0,4.229449928E-1,-4.631478786E-1,4.990921021E-1,8.015493439E-1
2.234002530E0,7.190064788E-1,-4.431161880E-1,4.704065323E-1,9.667494910E-1
2.250865964E0,1.059336424E0,-3.827283382E-1,4.124174118E-1,1.199484373E0
2.267701597E0,1.291142225E0,-4.108645916E-1,3.981494904E-1,1.412225540E0
2.284516091E0,1.513153791E0,-5.053553581E-1,4.424352646E-1,1.655526320E0
2.301353554E0,1.751708269E0,-5.369946957E-1,4.784393311E-1,1.893607498E0
2.318214821E0,1.974481106E0,-4.999127388E-1,5.442552567E-1,2.108246230E0
2.335054563E0,2.191424608E0,-5.168159008E-1,4.585857391E-1,2.297768781E0
2.351904661E0,2.369420290E0,-5.425758362E-1,3.456325531E-1,2.455199159E0
2.368716164E0,2.510056496E0,-5.838503838E-1,2.480182648E-1,2.588972372E0
2.385571532E0,2.773847342E0,-5.941188335E-1,1.879711151E-1,2.842980725E0
2.402419930E0,3.016181946E0,-4.890639782E-1,1.348133087E-1,3.058547324E0
2.419224384E0,3.259277582E0,-3.833532333E-1,8.751201630E-2,3.282911575E0
2.436070565E0,3.429829597E0,-3.726177216E-1,4.894828796E-2,3.450358093E0
2.452915749E0,3.527920246E0,-3.857653141E-1,-5.113506317E-2,3.549316967E0
2.469762948E0,3.543852329E0,-4.230136871E-1,-1.447505951E-1,3.571943819E0
2.486624368E0,3.549679756E0,-4.402124882E-1,-2.201862335E-1,3.583642753E0
2.503446064E0,3.490892887E0,-4.093720913E-1,-2.750186920E-1,3.525557252E0
2.520294014E0,3.504471779E0,-3.943607807E-1,-2.868728638E-1,3.538239522E0
2.537130857E0,3.520220041E0,-3.909661770E-1,-2.771949768E-1,3.552694857E0
2.553963417E0,3.499425888E0,-2.963690758E-1,-2.653045654E-1,3.521960063E0
2.570816099E0,3.426869392E0,-2.785372734E-1,-2.163667679E-1,3.444971905E0
2.587649270E0,3.327913761E0,-3.043692112E-1,-2.897491455E-1,3.354341245E0
2.604483784E0,3.079910755E0,-3.494443893E-1,-3.491716385E-1,3.119275954E0
2.621301156E0,2.885103703E0,-4.486262798E-1,-3.534421921E-1,2.941089984E0
2.638160836E0,2.717312098E0,-5.058789253E-1,-2.969646454E-1,2.779907647E0
2.655011708E0,2.590276003E0,-4.956932068E-1,-1.337337494E-1,2.640667764E0
2.671819487E0,2.466320515E0,-4.692642689E-1,1.563539505E-1,2.515430856E0
2.688676869E0,2.316081285E0,-3.881750107E-1,4.548997879E-1,2.392038080E0
2.705531361E0,2.188252926E0,-3.797345161E-1,5.564031601E-1,2.289592463E0
2.722358509E0,1.989776134E0,-3.826501369E-1,4.650735855E-1,2.078923672E0
2.739201914E0,1.668525219E0,-3.588969707E-1,3.655967712E-1,1.745406669E0
2.756039916E0,1.419871807E0,-3.626642227E-1,3.235950470E-1,1.500758156E0
2.772855916E0,1.235733032E0,-3.631305695E-1,2.818059921E-1,1.318451575E0
2.789687001E0,1.011985302E0,-3.691449165E-1,2.793073654E-1,1.112831894E0
2.806563751E0,7.052603960E-1,-4.191477299E-1,2.165851593E-1,8.485199920E-1
2.823373687E0,4.941996932E-1,-3.724119663E-1,1.471986771E-1,6.360750427E-1
2.840220662E0,1.713144183E-1,-3.406448364E-1,1.836442947E-1,4.232171564E-1
2.857079051E0,-1.831867993E-1,-4.226593971E-1,3.320016861E-1,5.678234664E-1
2.873906952E0,-5.265794396E-1,-4.364621639E-1,5.298271179E-1,8.651600440E-1
2.890748576E0,-8.067940474E-1,-3.667044640E-1,6.093921661E-1,1.075522018E0
2.907601054E0,-1.108541846E0,-3.041048050E-1,7.018108368E-1,1.346804814E0
2.924409321E0,-1.444737196E0,-1.895272732E-1,6.682243347E-1,1.603031476E0
2.941270172E0,-1.815030932E0,-1.311314106E-1,3.754253387E-1,1.858084206E0
2.958090179E0,-1.998220444E0,-1.674282551E-1,1.339960098E-1,2.009694527E0
2.974951995E0,-2.002951145E0,-1.055147648E-1,1.901826859E-1,2.014724822E0
2.991790528E0,-1.868360400E0,1.383018494E-2,3.626966476E-1,1.903289447E0
3.008603821E0,-1.674828649E0,1.160700321E-1,3.875045776E-1,1.722986666E0
3.025462372E0,-1.685013533E0,1.121253967E-1,2.585821152E-1,1.708422495E0
3.042311320E0,-1.654694676E0,5.682206154E-2,5.892086029E-2,1.656718107E0
3.059147899E0,-1.538033724E0,1.007108688E-1,-2.867031097E-2,1.541594110E0
3.075986176E0,-1.365506053E0,1.422736645E-1,6.228446960E-2,1.374309984E0
3.092816305E0,-1.171385765E0,1.191747189E-1,2.055349350E-1,1.195237145E0
3.109655498E0,-1.051593304E0,7.916426659E-2,3.125629425E-1,1.099914110E0
3.126514863E0,-9.299365282E-1,3.527712822E-2,3.677310944E-1,1.000626094E0
3.143344259E0,-8.006645441E-1,-4.477500916E-3,4.193382263E-1,9.038408645E-1
3.160180818E0,-7.056991458E-1,-6.496787071E-2,4.451713562E-1,8.369048004E-1
3.177022716E0,-6.798011661E-1,-1.591126919E-1,4.153280258E-1,8.123692776E-1
3.193861502E0,-6.688590646E-1,-2.827651501E-1,4.110193253E-1,8.344252298E-1
3.210701061E0,-5.794196725E-1,-3.884067535E-1,4.069375992E-1,8.075798243E-1
